"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg08"	"L2"	6	2	TRUE	17	23	0.739130434782609	NA	NA	NA
"hg08"	"L2"	6	3	TRUE	17	23	0.739130434782609	NA	NA	NA
"hg08"	"L2"	6	4	TRUE	22	23	0.956521739130435	NA	NA	NA
"hg08"	"L2"	7	1	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	7	2	TRUE	19	23	0.826086956521739	NA	NA	NA
"hg08"	"L2"	7	3	TRUE	19	23	0.826086956521739	NA	NA	NA
"hg08"	"L2"	7	4	FALSE	1	23	0.0434782608695652	NA	NA	NA
"hg08"	"L2"	7	5	FALSE	3	23	0.130434782608696	NA	NA	NA
"hg08"	"L2"	8	1	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	8	2	FALSE	2	23	0.0869565217391304	NA	NA	NA
"hg08"	"L2"	8	3	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	8	4	TRUE	21	23	0.91304347826087	NA	NA	NA
"hg08"	"L2"	9	1	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	9	2	TRUE	22	23	0.956521739130435	NA	NA	NA
"hg08"	"L2"	9	3	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	10	1	FALSE	3	23	0.130434782608696	NA	NA	NA
"hg08"	"L2"	10	2	FALSE	3	23	0.130434782608696	NA	NA	NA
"hg08"	"L2"	10	3	TRUE	23	23	1	NA	NA	NA
"hg08"	"L2"	11	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	11	2	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg08"	"L2"	11	3	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	11	4	TRUE	19	22	0.863636363636364	NA	NA	NA
"hg08"	"L2"	12	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	13	1	TRUE	21	21	1	NA	NA	NA
"hg08"	"L2"	13	2	TRUE	21	21	1	NA	NA	NA
"hg08"	"L2"	13	3	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg08"	"L2"	14	1	TRUE	22	22	1	NA	NA	NA
"hg08"	"L2"	15	1	FALSE	1	22	0.0454545454545455	NA	NA	NA
"hg08"	"L2"	15	2	TRUE	21	21	1	NA	NA	NA
